skill_id,name,proficiency_level
S001,Deploy Web-Enabled Supply-Chains,Expert
S002,Facilitate World-Class Metrics,Expert
S003,Brand Wireless Portals,Intermediate
S004,Grow Turn-Key Paradigms,Beginner
S005,Envisioneer Front-End Portals,Beginner
S006,Expedite One-To-One Technologies,Intermediate
S007,Syndicate Out-Of-The-Box Supply-Chains,Expert
S008,Transform E-Business Infrastructures,Expert
S009,Re-Intermediate Clicks-And-Mortar E-Services,Intermediate
S010,Syndicate Transparent Supply-Chains,Intermediate
S011,Redefine Impactful E-Markets,Intermediate
S012,Transition Impactful Solutions,Intermediate
S013,Utilize Cross-Media Solutions,Beginner
S014,Mesh Transparent Architectures,Intermediate
S015,Transition Integrated Eyeballs,Expert
S016,Matrix Revolutionary Initiatives,Expert
S017,Redefine Cross-Platform Experiences,Expert
S018,Expedite Out-Of-The-Box E-Services,Intermediate
S019,Evolve Seamless Action-Items,Expert
S020,Monetize Cutting-Edge E-Markets,Expert
